l1_category,l2_subcategory,l3_skill_name,l3_skill_id
Information Technology,Microsoft Development Tools,Microsoft Project Certification,KS126JD5YBG135ZKRS68
Information Technology,Microsoft Development Tools,Microsoft Silverlight,KS126JM6CDLNW6Y5XCHB
Information Technology,Microsoft Development Tools,Microsoft Speech Application SDK I(ASDK),KS4409L6SVXTJWQDM11G
Information Technology,Microsoft Development Tools,Microsoft Sync,KS7G26X623PH737YPPQM
Information Technology,Microsoft Development Tools,Microsoft Sync Framework,KS126JT65T0BTR23FCFG
Information Technology,Microsoft Development Tools,Microsoft Visual C Sharp,KS126JX5VNN7BTZ10P23
Information Technology,Microsoft Development Tools,Microsoft Visual SourceSafe,KS440726GVJ60GJ2X1X9
Information Technology,Microsoft Development Tools,Microsoft Visual Studio,KS126HD6VL9XVJ2V08HC
Information Technology,Microsoft Development Tools,Microsoft Web Platform Installer,KS126JY6K2B0HSF9K3RF
Information Technology,Microsoft Development Tools,Microsoft WebMatrix,KS126JY6BNJP2WS1WMY9
Information Technology,Microsoft Development Tools,Microsoft XNA,KS126K46HQ89TFQW1TSN
Information Technology,Microsoft Development Tools,Microsoft for Startups,KSL2AVILDPAU9DZ737GU
Information Technology,Microsoft Development Tools,Msdeploy,KSTADLJ9HTND1GTB6JTL
Information Technology,Microsoft Development Tools,Mspec,KS2DJTBMHQ58QQEBC7YL
Information Technology,Microsoft Development Tools,Mvc.net,KS8T7SD7KREU3MTONNLR
Information Technology,Microsoft Development Tools,NHibernate,KS12714601X7W98YZVKY
Information Technology,Microsoft Development Tools,NHydrate,KS127155ZZMXPW2ZFZTL
Information Technology,Microsoft Development Tools,Object Linking And Embedding (OLE),KS1277S73JMR1HKY96HD
Information Technology,Microsoft Development Tools,Obout,KSKOWPG0Z69JH6T9DKIP
Information Technology,Microsoft Development Tools,Powerapps,KS32GY4110WU526QV10S
Information Technology,Microsoft Development Tools,Powergui,KS6GYJVV9OTFZXQ94PPI
Information Technology,Microsoft Development Tools,Provider Model,KS1285W64T448FS5V8PC
Information Technology,Microsoft Development Tools,Psake,KSTTSEP1EVPO3MGW0F8O
Information Technology,Microsoft Development Tools,Quickc,KS128B26Q0W4NRL908N0
Information Technology,Microsoft Development Tools,Razor Engine,ESAA094043B89B10FFB1
Information Technology,Microsoft Development Tools,SignalR,KS440L264S9NBT1L5GH5
Information Technology,Microsoft Development Tools,Sketchflow,KSWEUN5X5RJXW2G4OCOS
Information Technology,Microsoft Development Tools,Specrun,KSYO3575CCPMQRT3G25K
Information Technology,Microsoft Development Tools,Tfs2008,KS8PH10WY8PBO7SNLOAR
Information Technology,Microsoft Development Tools,Tfs2010,KS2DQS062EFRR4V2F52U
Information Technology,Microsoft Development Tools,Tfs2012,KSKSOQ6BR4WND7F3SDR2
Information Technology,Microsoft Development Tools,Tfs2013,KS8Y23MK8N1K8T71417D
Information Technology,Microsoft Development Tools,Tfs2015,KSJCC7N68W6NBMRS3K18
Information Technology,Microsoft Development Tools,Tfsbuild,KS075MB43636BADPOTMF
Information Technology,Microsoft Development Tools,Unity Container,KSNUYKM5DSD1620VQEID
Information Technology,Microsoft Development Tools,User-Mode Driver Framework,KS441ML6Z627BPZFJQ49
Information Technology,Microsoft Development Tools,Viewbag,KS5060PHHWG947F57XU3
Information Technology,Microsoft Development Tools,Visual Assist,KS441VL66R3KGFXD40CD
Information Technology,Microsoft Development Tools,Visual InterDev,KS12585682PBC4NP466R
Information Technology,Microsoft Development Tools,Visual Studio Online,KS441VY64QMQ18JPXM33
Information Technology,Microsoft Development Tools,Visual Studio Tools for Office (VSTO),ESED6319309B11821617
Information Technology,Microsoft Development Tools,Vscode,KS2PLHV3H1BNBYSICEUH
Information Technology,Microsoft Development Tools,Vstest,KSAUOKCH53Q0IYXCSC81
Information Technology,Microsoft Development Tools,Wcf Data Services,KS441ZP6DTJTHFBN04QV
Information Technology,Microsoft Development Tools,Webapi2,KS30Y39G5SZNER0GWHCC
Information Technology,Microsoft Development Tools,Windows App Studio,KS4423163037L7DLCTHM
Information Technology,Microsoft Development Tools,Windows Communication Foundation,KS1253L661L2QWZ4Z16L
Information Technology,Microsoft Development Tools,Windows Driver Kit,KS441ZR6JBLX5MXXRB79
Information Technology,Microsoft Development Tools,Windows Forms,KS4423576TCS5W83BSV8
Information Technology,Microsoft Development Tools,Windows Interface Source Environment,KS442376G6S8R9L2JNF3
Information Technology,Microsoft Development Tools,Windows Presentation Foundation,KS126JC79S871W7715R8
Information Technology,Microsoft Development Tools,Windows Workflow Foundation,KS4423K6GNFYB00H02J3
Information Technology,Microsoft Development Tools,Windows Workflow Foundation In .NET 4,KS4421W605PVC5B0Y2JQ
Information Technology,Microsoft Development Tools,Word VBA,KSZ0RLJB71GNDLXM8DIN
Information Technology,Microsoft Development Tools,Wspbuilder,KSWB8O4RFH9EGHIS544J
Information Technology,Microsoft Development Tools,XAMLPad,KS4425Y73W2DSFG2T82Y
Information Technology,Microsoft Development Tools,Xbox Development Kit,KS4426M61PN1G8RHRGG0
Information Technology,Software Development Tools,.NET Code Analysis (FxCop Analyzers),KS1245X66R9YDDQWP4V3
Information Technology,Software Development Tools,.NET Reflector,KS126Y166NXP5X1SLV6V
Information Technology,Software Development Tools,.nettiers,KSLGDAXJ4EFDMIOPMGL2
Information Technology,Software Development Tools,ALM Octane,ES5615A7CD953146E286
Information Technology,Software Development Tools,APPX (Runtime Environment),KS120LS6BZQJ38QR16LF
Information Technology,Software Development Tools,AQtime,KS120LX703K7L79K0XMF
Information Technology,Software Development Tools,ARMulator,KS120N66VXJ87Z96N80S
Information Technology,Software Development Tools,AWS Amplify,ES10A39B7C7A12C9618F
Information Technology,Software Development Tools,AWS CodeDeploy,ES192CD34322D5FBBF42
